21, 0, 8, 58, 0, 0
22, 0, 8, 58, 0, 0
23, 0, 8, 38, 0, 0
24, 0, 8, 38, 0, 0
31, 0, 8, 61, 0, 0
32, 0, 8, 61, 0, 0
33, 0, 8, 69, 0, 0
34, 0, 8, 69, 0, 0
19, 0, 9, 61, 0, 0
20, 0, 9, 61, 0, 0
21, 0, 9, 73, 0, 0
22, 0, 9, 58, 0, 0
23, 0, 9, 68, 0, 0
24, 0, 9, 54, 0, 0
25, 0, 9, 54, 0, 0
30, 0, 9, 66, 0, 0
31, 0, 9, 56, 0, 0
32, 0, 9, 54, 0, 0
33, 0, 9, 59, 0, 0
34, 0, 9, 64, 0, 0
35, 0, 9, 64, 0, 0
36, 0, 9, 63, 0, 0
19, 0, 10, 61, 0, 0
20, 0, 10, 91, 0, 0
21, 0, 10, 91, 0, 0
22, 0, 10, 93, 0, 0
23, 0, 10, 86, 0, 0
24, 0, 10, 74, 0, 0
25, 0, 10, 31, 0, 0
26, 0, 10, 15, 0, 0
29, 0, 10, 24, 0, 0
30, 0, 10, 26, 0, 0
31, 0, 10, 79, 0, 0
32, 0, 10, 79, 0, 0
33, 0, 10, 84, 0, 0
34, 0, 10, 78, 0, 0
35, 0, 10, 86, 0, 0
36, 0, 10, 63, 0, 0
19, 0, 11, 46, 0, 0
20, 0, 11, 79, 0, 0
21, 0, 11, 94, 0, 0
22, 0, 11, 99, 0, 0
23, 0, 11, 86, 0, 0
24, 0, 11, 73, 0, 0
25, 0, 11, 13, 0, 0
26, 0, 11, 10, 0, 0
29, 0, 11, 23, 0, 0
30, 0, 11, 15, 0, 0
31, 0, 11, 74, 0, 0
32, 0, 11, 88, 0, 0
33, 0, 11, 84, 0, 0
34, 0, 11, 74, 0, 0
35, 0, 11, 76, 0, 0
36, 0, 11, 53, 0, 0
19, 0, 12, 41, 0, 0
20, 0, 12, 93, 0, 0
21, 0, 12, 104, 0, 0
22, 0, 12, 99, 0, 0
23, 0, 12, 88, 0, 0
24, 0, 12, 83, 0, 0
25, 0, 12, 8, 0, 0
26, 0, 12, 10, 0, 0
29, 0, 12, 28, 0, 0
30, 0, 12, 16, 0, 0
31, 0, 12, 84, 0, 0
32, 0, 12, 84, 0, 0
33, 0, 12, 91, 0, 0
34, 0, 12, 88, 0, 0
35, 0, 12, 81, 0, 0
36, 0, 12, 54, 0, 0
19, 0, 13, 41, 0, 0
