19, 0, 7, 11, 15, 19
26, 0, 7, 1, 5, 8
19, 0, 8, 0, 1, 5
20, 0, 8, 11, 15, 19
26, 0, 8, 0, 0, 0
27, 0, 8, 21, 24, 29
18, 0, 9, 21, 26, 29
19, 0, 9, 0, 1, 5
20, 0, 9, 8, 11, 15
26, 0, 9, 0, 0, 0
27, 0, 9, 21, 24, 29
18, 0, 10, 31, 34, 39
19, 0, 10, 0, 0, 0
20, 0, 10, 8, 11, 16
21, 0, 10, 29, 34, 39
25, 0, 10, 6, 10, 13
26, 0, 10, 6, 10, 13
27, 0, 10, 28, 31, 36
18, 0, 11, 31, 34, 39
19, 0, 11, 0, 0, 0
20, 0, 11, 8, 11, 16
21, 0, 11, 8, 13, 16
25, 0, 11, 6, 10, 13
26, 0, 11, 0, 0, 0
27, 0, 11, 18, 21, 26
18, 0, 12, 28, 31, 36
19, 0, 12, 0, 0, 0
20, 0, 12, 6, 11, 15
21, 0, 12, 6, 11, 15
25, 0, 12, 1, 6, 10
26, 0, 12, 0, 3, 8
27, 0, 12, 18, 21, 26
28, 0, 12, 31, 34, 39
18, 0, 13, 28, 31, 36
19, 0, 13, 0, 0, 1
20, 0, 13, 5, 8, 13
21, 0, 13, 19, 23, 28
25, 0, 13, 1, 6, 10
26, 0, 13, 0, 3, 8
27, 0, 13, 19, 24, 29
28, 0, 13, 31, 36, 41
18, 0, 14, 23, 26, 31
19, 0, 14, 0, 0, 1
20, 0, 14, 11, 15, 19
21, 0, 14, 21, 24, 29
25, 0, 14, 21, 18, 15
26, 0, 14, 1, 5, 10
27, 0, 14, 19, 24, 29
28, 0, 14, 29, 34, 39
18, 0, 15, 23, 26, 31
19, 0, 15, 0, 0, 1
20, 0, 15, 0, 0, 0
21, 0, 15, 0, 1, 5
25, 0, 15, 1, 5, 8
26, 0, 15, 0, 0, 1
27, 0, 15, 3, 8, 11
28, 0, 15, 10, 13, 18
18, 0, 16, 36, 38, 38
19, 0, 16, 0, 0, 0
20, 0, 16, 0, 0, 0
21, 0, 16, 16, 19, 24
25, 0, 16, 10, 15, 18
26, 0, 16, 0, 0, 0
27, 0, 16, 24, 29, 34
28, 0, 16, 24, 29, 34
18, 0, 17, 36, 38, 38
19, 0, 17, 0, 0, 0
20, 0, 17, 19, 23, 28
21, 0, 17, 16, 19, 24
25, 0, 17, 29, 34, 39
26, 0, 17, 0, 0, 0
27, 0, 17, 24, 29, 34
28, 0, 17, 24, 29, 34
19, 0, 18, 29, 34, 39
20, 0, 18, 19, 23, 28
25, 0, 18, 29, 34, 39
26, 0, 18, 29, 34, 39
27, 0, 18, 26, 31, 34
19, 1, 7, 11, 15, 19
26, 1, 7, 26, 31, 36
19, 1, 8, 33, 36, 41
20, 1, 8, 24, 29, 34
26, 1, 8, 26, 31, 36
27, 1, 8, 26, 31, 36
19, 1, 9, 0, 1, 5
20, 1, 9, 11, 16, 19
26, 1, 9, 8, 13, 16
27, 1, 9, 29, 33, 38
18, 1, 10, 31, 34, 39
20, 1, 10, 11, 16, 19
25, 1, 10, 6, 10, 13
27, 1, 10, 28, 31, 36
18, 1, 11, 33, 36, 41
20, 1, 11, 3, 8, 11
25, 1, 11, 0, 3, 6
28, 1, 11, 31, 36, 41
18, 1, 12, 56, 51, 46
21, 1, 12, 1, 5, 8
25, 1, 12, 3, 3, 3
28, 1, 12, 29, 33, 36
18, 1, 13, 56, 51, 46
21, 1, 13, 1, 5, 8
25, 1, 13, 19, 13, 6
28, 1, 13, 29, 33, 36
18, 1, 14, 61, 53, 46
21, 1, 14, 15, 13, 13
25, 1, 14, 21, 18, 15
28, 1, 14, 86, 68, 54
18, 1, 15, 129, 94, 66
